sr_no,date_dd/mm/yyyy,startup_name,industry_vertical,subvertical,city_location,investors_name,investmentntype,amount_in_usd,remarks,year,funding_category
1,2020-09-01,Byju’S,E-Tech,E-learning,Bengaluru,Tiger Global Management,Private Equity Round,4200000.0,,2020.0,Medium
2,,Shuttl,Transportation,App based shuttle service,Gurgaon,Susquehanna Growth Equity,Series C,4200000.0,,,Medium
3,2020-09-01,Mamaearth,E-Commerce,Retailer of baby and toddler products,Bengaluru,Sequoia Capital India,Series B,4200000.0,,2020.0,Medium
4,2020-02-01,Https://Www.Wealthbucket.In/,Fintech,Online Investment,New Delhi,Vinod Khatumal,Pre-series A,4200000.0,,2020.0,Medium
5,2020-02-01,Fashor,Fashion And Apparel,Embroiled Clothes For Women,Mumbai,Sprout Venture Partners,Seed Round,4200000.0,,2020.0,Medium
6,,Pando,Logistics,"Open-market, freight management platform",Chennai,Chiratae Ventures,Series A,4200000.0,,,Medium
7,2020-10-01,Zomato,Hospitality,Online Food Delivery Platform,Gurgaon,Ant Financial,Private Equity Round,4200000.0,,2020.0,Medium
8,2019-12-12,Ecozen,Technology,Agritech,Pune,Sathguru Catalyzer Advisors,Series A,4200000.0,,2019.0,Medium
9,2019-06-12,Cardekho,E-Commerce,Automobile,Gurgaon,Ping An Global Voyager Fund,Series D,4200000.0,,2019.0,Medium
10,2019-03-12,Dhruva Space,Aerospace,Satellite Communication,Bengaluru,"Mumbai Angels, Ravikanth Reddy",Seed,4200000.0,,2019.0,Medium
11,,Rivigo,Technology,Logistics Services and Solutions,Gurgaon,"SAIF Partners, Spring Canter Investment Ltd.",Series F,4200000.0,,,Medium
12,,Healthians,B2B-Focused Foodtech Startup,Food Solutions For Corporate,Bengaluru,"Paytm, NPTK, Sabre Partners and Neoplux",Series C,4200000.0,,,Medium
13,,Licious,E-Commerce,Online Meat And Seafood Ordering Startup,Bengaluru,Vertex Growth Fund,Series E,4200000.0,,,Medium
14,,Incred,Finance,Non-Banking Financial Company,Mumbai,Undisclosed,Debt Funding,4200000.0,,,Medium
15,,Trell,Video,Experience Discovery Platform,Bengaluru,Ruizheng Investment,Seed Round,4200000.0,,,Medium
16,2019-11-12,Rein Games,Gaming,Real money based gaming startup,Noida,Manipal Education and Medical Group (MEMG),Seed Round,4200000.0,,2019.0,Medium
17,,Lenskart.Com,E-Commerce,Online Eyewear Shopping Portal,Faridabad,SoftBank Vision Fund,Series G,4200000.0,,,Medium
18,,Freshworks,Software,Business and customer engagement tools,San Francisco,"Sequoia, CapitalG, Accel",Series H,4200000.0,,,Medium
19,,Misters,Health And Wellness,Men's Health and Wellness brand,Gurgaon,"Sauce.vc, Rainforest Ventures",Series B,4200000.0,,,Medium
